check_start_page, PASSED [RC 0],Successfully found 'Kaltura Video Platfrom - Home Page' on page http://amall/start/index.php,.039250518
check_testme_page, PASSED [RC 0],Successfully found 'Kaltura - Test Me Console' on page http://amall/api_v3/testme/,.152420348
check_kmc_index_page, PASSED [RC 0],Successfully found 'Kaltura - Open Source Video Platform',.094080555
check_admin_console_index_page, PASSED [RC 0],Successfully found 'Kaltura Admin Console' on page http://amall/admin_console/,.192554358
Create Partner, PASSED [RC 0],New PID is 112,2.726715389
Upload content kaltura_logo_animated_blue.flv, PASSED [RC 0],PHP/5.3.3 1395773348.flv 0_p7svdkrl,.889921856
Upload content kaltura_logo_animated_green.flv, PASSED [RC 0],PHP/5.3.3 1395773348.flv 0_v49el2nj,.579193865
Upload bulk using CSV, PASSED [RC 0],Successfully uploaded       ,.547656402
Upload bulk using XML, PASSED [RC 0],Successfully uploaded       ,.425329066
Check missing web/content files - /tmp/missing_web_files_25_03_2014, FAILED [RC 1,],/tmp/missing_web_files_25_03_2014,1914.705168305
